product_id,product_name,category,brand,cost_price,retail_price,weight_kg,launch_date,is_active,profit_margin_percent,price_category
PROD81,Product Name 80,Home,BrandB,44.84,320.53,1.45,2024-08-10,False,86.01,Luxury
PROD82,Product Name 81,Clothing,BrandB,104.02,116.06,0.87,2023-11-16,True,10.37,Mid-range
PROD83,Product Name 82,Books,BrandC,86.76,280.02,3.22,2025-01-29,True,69.02,Premium
PROD84,Product Name 83,Sports,BrandD,8.53,112.98,3.04,2023-12-17,False,92.45,Mid-range
PROD85,Product Name 84,Books,BrandD,159.59,376.24,0.98,2024-05-13,True,57.58,Luxury
PROD86,Product Name 85,Electronics,BrandE,18.46,258.19,3.56,2025-06-20,False,92.85,Premium
PROD87,Product Name 86,Sports,BrandD,97.48,136.56,2.33,2024-10-26,False,28.62,Mid-range
PROD88,Product Name 87,Clothing,BrandA,114.33,115.11,3.37,2023-05-29,False,0.68,Mid-range
PROD89,Product Name 88,Home,BrandA,127.54,84.46,4.2,2024-03-14,False,-51.01,Mid-range
PROD90,Product Name 89,Home,BrandA,139.28,280.91,0.93,2024-11-24,False,50.42,Premium
PROD91,Product Name 90,Clothing,BrandE,54.39,95.3,0.19,2023-12-15,True,42.93,Mid-range
PROD92,Product Name 91,Home,BrandD,6.95,242.17,3.92,2023-10-12,True,97.13,Premium
PROD93,Product Name 92,Clothing,BrandE,146.07,113.21,3.09,2023-09-29,False,-29.03,Mid-range
PROD94,Product Name 93,Clothing,BrandD,109.45,268.17,3.53,2024-09-16,False,59.19,Premium
PROD95,Product Name 94,Electronics,BrandE,168.04,327.83,4.21,2024-07-07,False,48.74,Luxury
PROD96,Product Name 95,Books,BrandE,165.17,313.43,4.03,2025-04-16,True,47.3,Luxury
PROD97,Product Name 96,Sports,BrandB,169.45,306.73,4.81,2025-05-05,True,44.76,Luxury
PROD98,Product Name 97,Home,BrandE,99.59,83.21,2.73,2023-12-10,True,-19.69,Mid-range
PROD99,Product Name 98,Sports,BrandD,70.06,44.47,2.49,2023-07-09,True,-57.54,Budget
PROD100,Product Name 99,Sports,BrandD,159.35,282.59,2.07,2025-07-09,False,43.61,Premium
